moment,nit,probabilitat,u_dv_pred,enviat,detall,text
2026-09-08 16:40:25,2026-09-09,4,5.03,FALSE,mode prova: no s'ha enviat,"😴 Saligarda · matinada del 9 de setembre | Probabilitat: 4 % | Nit tranquil·la, previsiblement | #laGarriga #Congost"
2026-09-08 20:00:26,2026-09-09,4,4.85,FALSE,sense credencials (ni variables d'entorn ni fitxer local),"😴 Saligarda · matinada del 9 de setembre | Probabilitat: 4 % | Nit tranquil·la, previsiblement | #laGarriga #Congost"
2026-09-08 21:58:21,2026-09-09,4,5.01,FALSE,sense credencials (ni variables d'entorn ni fitxer local),"😴 Saligarda · matinada del 9 de setembre | Probabilitat: 4 % | Nit tranquil·la, previsiblement | #laGarriga #Congost"
2026-09-09 19:55:31,2026-09-10,5,6.12,FALSE,sense credencials (ni variables d'entorn ni fitxer local),"😴 Saligarda · matinada del 10 de setembre | Probabilitat: 5 % | Nit tranquil·la, previsiblement | #laGarriga #Congost"
2026-09-09 21:48:41,2026-09-10,5,6.12,FALSE,sense credencials (ni variables d'entorn ni fitxer local),"😴 Saligarda · matinada del 10 de setembre | Probabilitat: 5 % | Nit tranquil·la, previsiblement | #laGarriga #Congost"
2026-09-10 16:27:52,2026-09-11,20,10.35,FALSE,mode prova: no s'ha enviat,"😴 Saligarda · matí del 11 de setembre | Probabilitat: 20 % | Matí tranquil, previsiblement | #laGarriga #Congost"
2026-09-10 16:27:56,2027-01-15,78,17,FALSE,mode prova: no s'ha enviat,"💨 Saligarda · matí del 15 de gener | Probabilitat: 78 % | Intensitat esperada: 17 km/h | Màxim cap a les 6 h, s'apaga cap a les 11 h | Sensació mínima: -3 °C | #laGarriga #Congost"
2026-09-10 14:42:56,2026-09-11,20,10.35,FALSE,"HTTP 401: {
  ""title"": ""Unauthorized"",
  ""type"": ""about:blank"",
  ""status"": 401,
  ""detail"": ""Unauthorized""
}","😴 Saligarda · matí del 11 de setembre | Probabilitat: 20 % | Matí tranquil, segurament | #laGarriga #Congost"
2026-09-10 14:47:33,2026-09-11,20,10.35,FALSE,"HTTP 401: {
  ""title"": ""Unauthorized"",
  ""type"": ""about:blank"",
  ""status"": 401,
  ""detail"": ""Unauthorized""
}","😴 Saligarda · matí del 11 de setembre | Probabilitat: 20 % | Matí tranquil, segurament | #laGarriga #Congost"
2026-09-10 15:11:07,2026-09-11,20,10.35,FALSE,"HTTP 401: {
  ""title"": ""Unauthorized"",
  ""type"": ""about:blank"",
  ""status"": 401,
  ""detail"": ""Unauthorized""
}","😴 Saligarda · matí del 11 de setembre | Probabilitat: 20 % | Matí tranquil, segurament | #laGarriga #Congost"
2026-09-10 15:22:01,2026-09-11,20,10.35,TRUE,id 2098069488117698624,"😴 Saligarda · matí del 11 de setembre | Probabilitat: 20 % | Matí tranquil, segurament | #laGarriga #Congost"
2026-09-11 16:42:08,2026-09-12,15,9.55,TRUE,id 2098452038002642944,"🌅 Saligarda · matí del 12 de setembre | Probabilitat: 15 % | No farà gaire aire, segurament | #laGarriga #Congost"
2026-09-12 13:48:51,2026-09-13,37,11.42,TRUE,id 2098770820394799306,🌅 Saligarda · matí del 13 de setembre | Probabilitat: 37 % | Intensitat esperada: 11 km/h | #laGarriga #Congost
2026-09-12 22:20:57,2026-09-13,23,11.18,FALSE,mode prova: no s'ha enviat,"🍃 Saligarda · matí del 13 de setembre | Intensitat esperada: ~11 km/h (moderada) | Màxim cap a les 7 h, afluixa cap a les 11 h | #laGarriga #Congost"
