emes,nit,p_saligarda,p_bot,u_mati_pred,u_1a_pred,p8,p11,p14,pic_utc,final_utc,u_dv_pred,wc_min_pred,categoria,nub,nub_baixa,pmsl,dp24,dpNS
2026-09-12 20:21,2026-09-13,0.746,0.226,11.18,12.95,0.813,0.53,0.214,5,9,9.81,18.15,moderada,11,9,1024,1.5,2.8
2026-09-13 17:22,2026-09-14,0.815,0.418,13.16,15.43,0.884,0.612,0.381,5,9,11.52,18.91,notable,3,0,1022.7,-0.9,2.9
2026-09-14 19:13,2026-09-15,0.717,0.443,15.88,18.3,0.865,0.702,0.43,5,9,11.9,20.8,notable,0,0,1020.5,-2.7,2
2026-09-15 18:06,2026-09-16,0.375,0.036,8.02,9.25,0.483,0.198,0.039,5,9,6.97,19.6,fluixa,55,32,1018.2,-1.9,3.9
2026-09-16 18:07,2026-09-17,0.139,0.002,1.54,2.13,0.12,0.017,0.002,5,9,3.84,17.44,practicament nul.la,98,80,1018.6,0,3.8
2026-09-17 18:06,2026-09-18,0.104,0.001,3.04,2.93,0.152,0.023,0,5,9,4.04,16.44,practicament nul.la,97,72,1017,-1.1,3.2
2026-09-18 17:38,2026-09-19,0.675,0.095,10.94,11.9,0.794,0.424,0.089,5,9,9.16,16.09,moderada,31,8,1021,4.2,3.6
2026-09-19 17:09,2026-09-20,0.841,0.535,15.51,15.95,0.859,0.697,0.497,5,9,11.38,16.85,notable,0,0,1025.3,4.5,3.2
2026-09-20 17:23,2026-09-21,0.781,0.451,15.43,17.33,0.884,0.686,0.479,5,9,11.84,18.46,notable,12,0,1025.1,-0.5,4.4
2026-09-21 19:14,2026-09-22,0.756,0.343,14.64,16.3,0.851,0.651,0.368,5,9,11.23,18.85,notable,26,0,1020.6,-4.6,5.1
2026-09-22 18:02,2026-09-23,0.826,0.452,14.9,15.66,0.845,0.679,0.484,5,9,11.1,16.77,notable,4,4,1021.9,2,2.4
2026-09-23 15:14,2026-09-24,0.826,0.409,15.29,17.48,0.871,0.692,0.429,5,9,11.52,17.42,notable,8,0,1023.7,1.9,2
2026-09-24 15:36,2026-09-25,0.805,0.501,16.19,18.6,0.873,0.709,0.493,5,9,12.34,19.18,notable,11,0,1018.8,-5.4,3.2
